Nome,Nota Final,Faltas,Horas Estudo
Russel Mysliwiec,4,15,7
Travis Whiteman,3,18,9
Bill Chapman,4,17,6
Carmela Margerum,6,7,18
Alexis Allen,3,17,10
Geoffrey Hartle,7,12,20
Alessandra Stanley,0,26,0
Charles Bosworth,9,0,23
Darryl Traylor,5,11,11
Michael Larosa,3,17,7
Clarence Matthews,3,18,6
Nancy Crooks,1,21,2
Cary Stanton,0,25,0
Robert Whitehead,9,8,24
Rhett Grubb,5,16,14
Shelia Boyd,3,17,5
Matthew Whittemore,1,21,7
Omar Akers,9,3,21
Nettie Allen,1,17,2
George Moore,1,19,5
Tiffany Hatchett,2,17,6
Keith Gilbert,1,22,2
Eryn Mariska,3,15,8
Michele Noble,9,2,19
Michael Williamson,4,13,11
Carol Young,8,4,22
Theresa Wahlman,5,14,13
Grace Simmons,2,21,5
Nathan Wilbur,8,10,16
Michele Petillo,5,14,12
