Nome,Prova 1,Prova 2,Trabalho
Robert Judd,8.0,6.8,9.1
Brandi Shepard,1.8,9.6,6.9
Curtis Kitchen,0.4,6.2,8.6
Lora Obrien,3.4,9.5,8.7
Sarah Quillen,2.7,2.8,8.0
Russell Lindsey,6.5,7.3,10.0
Marvin Boulton,8.9,6.7,7.1
Ronnie Rhodes,4.3,5.9,7.3
Isaac Cogan,6.0,6.4,9.5
Misty White,3.4,4.8,5.9
Monica King,3.6,6.8,5.5
Wayne Coleman,0.0,4.0,8.2
Benjamin Elston,7.6,3.1,6.7
Joanne Morrell,0.0,4.8,7.5
Machelle Rodriguez,4.8,4.8,8.6
Justine Warner,9.3,7.9,8.9
Rachel Rowe,5.2,5.5,9.0
Raymond Willoughby,0.8,6.6,8.3
Amy Beauregard,5.3,5.9,10.0
Adele Carney,3.6,5.5,8.4
Deborah Alexander,6.5,4.0,7.9
Alejandra Tobin,3.0,5.1,7.6
Laura Bullock,2.7,8.6,8.5
Kerri Melvin,10.0,7.2,8.8
Elsie Gaither,2.9,5.6,6.8
Judy Eggimann,7.9,6.2,6.8
Ann Johnson,10.0,7.4,6.2
Vincent Petruzzelli,5.2,4.8,8.5
Kay Abad,6.4,6.9,8.9
Diane Henderson,4.0,5.9,6.6
